Experiment	Time	Treatment	Replicate	Log LD				
1	0.5	T0	A	9.086359831				
1	0.5	T1	A	1				
1	0.5	T2	A	1				
1	2	T0	A	8.523746467				
1	2	T1	A	1				
1	2	T2	A	4.064457989				
1	4	T0	A	9.10720997				
1	4	T1	A	5.698970004				
1	4	T2	A	8.278753601				
1	8	T0	A	9.170261715				
1	8	T1	A	8.245512668				
1	8	T2	A	2.255272505				
1	24	T0	A	8.565847819				
1	24	T1	A	1				
1	24	T2	A	8.539076099				
2	0.5	T0	A	9.376576957				
2	0.5	T0	B	9.318063335				
2	0.5	T0	C	9.309630167				
2	0.5	T1	A	0.698970004				
2	0.5	T1	B	0.698970004				
2	0.5	T1	C	0.698970004				
2	0.5	T2	A	0.698970004				
2	0.5	T2	B	0.698970004				
2	0.5	T2	C	4.342422681				
2	2	T0	A	9				
2	2	T0	B	9.190331698				
2	2	T0	C	9.127104798				
2	2	T1	A	0.698970004				
2	2	T1	B	2.819543936				
2	2	T1	C	5.338456494				
2	2	T2	A	5.489958479				
2	2	T2	B	2.278753601				
2	2	T2	C	2.113943352				
2	4	T0	A	8.72427587				
2	4	T0	B	9.255272505				
2	4	T0	C	9.359835482				
2	4	T1	A	6.447158031				
2	4	T1	B	5.986771734				
2	4	T1	C	3.84509804				
2	4	T2	A	4.444044796				
2	4	T2	B	3.799340549				
2	4	T2	C	3.755874856				
2	8	T0	A	9.342422681				
2	8	T0	B	9.350248018				
2	8	T0	C	9.328379603				
2	8	T1	A	4.338456494				
2	8	T1	B	6.69019608				
2	8	T1	C	2.255272505				
2	8	T2	A	5.012837225				
2	8	T2	B	3.792391689				
2	8	T2	C	5.875061263				
2	24	T0	A	9.086359831				
2	24	T0	B	#DIV/0!	<-I guess we should delete this point 			
2	24	T0	C	9.382017043				
2	24	T1	A	4.934498451				
2	24	T1	B	5.184691431				
2	24	T1	C	5.399673721				
2	24	T2	A	5.908485019				
2	24	T2	B	5.025305865				
2	24	T2	C	5.068185862				
3	2	T0	A	9.307496038				
3	2	T0	B	9.178976947				
3	2	T0	C	9.133538908				
3	2	T1	A	1.602059991				
3	2	T1	B	2.342422681				
3	2	T1	C	0.698970004				
3	2	T2	A	2.556302501				
3	2	T2	B	2.959041392				
3	2	T2	C	2.84509804				
3	4	T0	A	9.025305865				
3	4	T0	B	9.056904851				
3	4	T0	C	9.049218023				
3	4	T1	A	2.380211242				
3	4	T1	B	1.477121255				
3	4	T1	C	0.698970004				
3	4	T2	A	4.857332496				
3	4	T2	B	4.328379603				
3	4	T2	C	4.653212514				
3	8	T0	A	9.117271296				
3	8	T0	B	9.146128036				
3	8	T0	C	8.897627091				
3	8	T1	A	4.602059991				
3	8	T1	B	2.477121255				
3	8	T1	C	1.301029996				
3	8	T2	A	5.376576957				
3	8	T2	B	4.924279286				
3	8	T2	C	4.462397998				
3	24	T0	A	9.240549248				
3	24	T0	B	9.152288344				
3	24	T0	C	9.170261715				
3	24	T1	A	5.886490725				
3	24	T1	B	5.698970004				
3	24	T1	C	5.73239376				
3	24	T2	A	6.568201724				
3	24	T2	B	6.064457989				
3	24	T2	C	6.770852012				
3	48	T0	A	8.799340549				
3	48	T0	B	8.929418926				
3	48	T0	C	9.049218023				
3	48	T1	A	6.615950052				
3	48	T1	B	6.567026366				
3	48	T1	C	6.437750563				
3	48	T2	A	6.352182518				
3	48	T2	B	6.494154594				
3	48	T2	C	6.418301291				
4	2	T0	A	8.672097858				
4	2	T0	B	9.041392685				
4	2	T0	C	9.281033367				
4	2	T1	A	0.698970004				
4	2	T1	B	0.698970004				
4	2	T1	C	0.698970004				
4	2	T2	A	2.612783857				
4	2	T2	B	3.281033367				
4	2	T2	C	2.477121255				
4	4	T0	A	8.267171728				
4	4	T0	B	8.792391689				
4	4	T0	C	8.851258349				
4	4	T1	A	0.698970004				
4	4	T1	B	4.173186268				
4	4	T1	C	0.698970004				
4	4	T2	A	5.021189299				
4	4	T2	B	5.029383778				
4	4	T2	C	4.252853031				
4	8	T0	A	8.602059991				
4	8	T0	B	8.826074803				
4	8	T0	C	9.079181246				
4	8	T1	A	0.698970004				
4	8	T1	B	1.301029996				
4	8	T1	C	2.204119983				
4	8	T2	A	4.934498451				
4	8	T2	B	5.204119983				
4	8	T2	C	5.120573931				
4	24	T0	A	8.826074803				
4	24	T0	B	9.146128036				
4	24	T0	C	9.252853031				
4	24	T1	A	5.770852012				
4	24	T1	B	5.903089987				
4	24	T1	C	4.986771734				
4	24	T2	A	4.120573931				
4	24	T2	B	7.763427994				
4	24	T2	C	6.164352856				
4	48	T0	A	8.875061263				
4	48	T0	B	9.23299611				
4	48	T0	C	9.041392685				
4	48	T1	A	7.892094603				
4	48	T1	B	7.716003344				
4	48	T1	C	8.127104798				
4	48	T2	A	6.161368002				
4	48	T2	B	6.51851394				
4	48	T2	C	7.707570176				
5	2	T0	A	9.096910013				
5	2	T0	B	9.193124598				
5	2	T0	C	9.1430148				
5	2	T3	A	3.240549248				
5	2	T3	B	2.819543936				
5	2	T3	C	0.698970004				
5	4	T0	A	8.049218023				
5	4	T0	B	8.488550717				
5	4	T0	C	9.056904851				
5	4	T3	A	2.161368002				
5	4	T3	B	0.698970004				
5	4	T3	C	1.602059991				
5	8	T0	A	8.579783597				
5	8	T0	B	7.544068044				
5	8	T0	C	7.342422681				
5	8	T3	A	2.204119983				
5	8	T3	B	3.318063335				
