Experiment	Time	Treatment	LR			
1	0.5	T1	8.086359831			
1	0.5	T2	8.086359831			
1	2	T1	7.523746467			
1	2	T2	4.459288478			
1	4	T1	3.408239965			
1	4	T2	0.828456369			
1	8	T1	0.924749048			
1	8	T2	6.91498921			
1	24	T1	7.565847819			
1	24	T2	0.02677172			
2	0.5	T1	8.635786815			
2	0.5	T2	7.42130259			
2	2	T1	6.153488688			
2	2	T2	5.811593688			
2	4	T1	3.68678535			
2	4	T2	5.113374552			
2	8	T1	4.912375075			
2	8	T2	4.446920042			
2	24	T1	3.913405296			
2	24	T2	3.752367582			
3	2	T1	7.658853072			
3	2	T2	6.419856653			
3	4	T1	7.52504208			
3	4	T2	4.430834709			
3	8	T1	6.260271727			
3	8	T2	4.132590727			
3	24	T1	3.415081606			
3	24	T2	2.719862528			
3	48	T1	2.259098223			
3	48	T2	2.377794415			
4	2	T1	8.299204632			
4	2	T2	6.207861811			
4	4	T1	6.779898497			
4	4	T2	3.869131886			
4	8	T1	7.434398686			
4	8	T2	3.749374558			
4	24	T1	3.521447379			
4	24	T2	3.058900363			
4	48	T1	0.963327015			
4	48	T2	2.079243891			
5	2	T3	6.891328741			
5	4	T3	7.044091864			
5	8	T3	5.011868662			
5	24	T3	5.81841989			
5	48	T3	6.978745813			
6	2	T1	7.564288179			
6	2	T2	6.454339791			
6	2	T3	7.638237762			
6	4	T1	6.98737749			
6	4	T2	4.860206765			
6	4	T3	7.489094149			
6	8	T1	5.12714893			
6	8	T2	2.714233324			
6	8	T3	5.150228458			
6	24	T1	5.641390799			
6	24	T2	4.32881669			
6	24	T3	6.325320586			
6	48	T1	4.577822704			
6	48	T2	2.184192657			
6	48	T3	5.343034359			
						
						
						
						
						
						
						
						
