Experiment	Treatment	Media	LD
1	0	0	9.459392488
1	0	1	8.934498451
1	1	0	1.84509804
1	1	1	2.643452676
1	2	0	5.06069784
1	2	1	9.190331698
1	3	0	1
1	3	1	3.041392685
2	0	0	9.62325
2	0	1	8.12710
2	1	0	2.63347
2	1	1	3.70757
2	2	0	9.96379
2	2	1	6.21484
2	3	0	3.24551
2	3	1	3.24551
3	0	0	9.48287
3	0	1	8.75587
3	1	0	2.07918
3	1	1	6.89763
3	2	0	9.38202
3	2	1	8.42160
3	3	0	1.00000
3	3	1	7.24166
4	0	0	9.49276
4	0	1	8.04532
4	1	0	2.25527
4	1	1	3.84510
4	2	0	9.43775
4	2	1	5.69897
4	3	0	3.03342
4	3	1	2.27875
5	0	0	9.55630
5	0	1	8.20683
5	1	0	2.74819
5	1	1	4.52763
5	2	0	9.43616
5	2	1	7.09691
5	3	0	1.74473
5	3	1	3.29447
