Experiment	Treatment	Media	LR
1	1	Fresh	7.614294448
1	1	Used	6.291045775
1	2	Fresh	4.398694647
1	2	Used	-0.255833247
1	3	Fresh	8.459392488
1	3	Used	5.893105766
2	1	Fresh	6.98978
2	1	Used	4.41953
2	2	Fresh	-0.34054
2	2	Used	1.91226
2	3	Fresh	6.37774
2	3	Used	4.88159
3	1	Fresh	7.40369
3	1	Used	1.85825
3	2	Fresh	0.10086
3	2	Used	0.33427
3	3	Fresh	8.48287
3	3	Used	1.51422
4	1	Fresh	7.23749
4	1	Used	4.20022
4	2	Fresh	0.05501
4	2	Used	2.34635
4	3	Fresh	6.45934
4	3	Used	5.76657
5	1	Fresh	6.808114474
5	1	Used	3.679195975
5	2	Fresh	0.120139854
5	2	Used	1.109915863
5	3	Fresh	7.811575006
5	3	Used	4.91235965
